2022-11-21 14:26:30,513 INFO    StreamThr :9692 [internal.py:wandb_internal():88] W&B internal server running at pid: 9692, started at: 2022-11-21 14:26:30.511236
2022-11-21 14:26:30,519 DEBUG   HandlerThread:9692 [handler.py:handle_request():139] handle_request: status
2022-11-21 14:26:30,524 DEBUG   SenderThread:9692 [sender.py:send_request():317] send_request: status
2022-11-21 14:26:30,531 INFO    WriterThread:9692 [datastore.py:open_for_write():75] open: C:\Users\Pietro\Downloads\dtu\deeplearning\deep_rl_2022-main\wandb\offline-run-20221121_142630-2zt8ujip\run-2zt8ujip.wandb
2022-11-21 14:26:30,679 DEBUG   HandlerThread:9692 [handler.py:handle_request():139] handle_request: run_start
2022-11-21 14:26:30,798 DEBUG   HandlerThread:9692 [system_info.py:__init__():31] System info init
2022-11-21 14:26:30,798 DEBUG   HandlerThread:9692 [system_info.py:__init__():46] System info init done
2022-11-21 14:26:30,800 INFO    HandlerThread:9692 [system_monitor.py:start():150] Starting system monitor
2022-11-21 14:26:30,800 INFO    SystemMonitor:9692 [system_monitor.py:_start():116] Starting system asset monitoring threads
2022-11-21 14:26:30,800 INFO    HandlerThread:9692 [system_monitor.py:probe():168] Collecting system info
2022-11-21 14:26:30,803 INFO    SystemMonitor:9692 [interfaces.py:start():168] Started cpu
2022-11-21 14:26:30,803 INFO    SystemMonitor:9692 [interfaces.py:start():168] Started disk
2022-11-21 14:26:30,809 INFO    SystemMonitor:9692 [interfaces.py:start():168] Started gpu
2022-11-21 14:26:30,821 INFO    SystemMonitor:9692 [interfaces.py:start():168] Started memory
2022-11-21 14:26:30,833 INFO    SystemMonitor:9692 [interfaces.py:start():168] Started network
2022-11-21 14:26:30,852 DEBUG   HandlerThread:9692 [system_info.py:probe():195] Probing system
2022-11-21 14:26:30,866 DEBUG   HandlerThread:9692 [system_info.py:_probe_git():180] Probing git
2022-11-21 14:26:31,045 DEBUG   HandlerThread:9692 [system_info.py:_probe_git():188] Probing git done
2022-11-21 14:26:31,045 DEBUG   HandlerThread:9692 [system_info.py:probe():241] Probing system done
2022-11-21 14:26:31,045 DEBUG   HandlerThread:9692 [system_monitor.py:probe():177] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.9.1', 'heartbeatAt': '2022-11-21T13:26:30.852474', 'startedAt': '2022-11-21T13:26:30.456535', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'C:\\Users\\Pietro\\Downloads\\dtu\\deeplearning\\deep_rl_2022-main\\raya3c\\example_maze.py', 'codePath': 'raya3c\\example_maze.py', 'git': {'remote': 'https://github.com/alessandro-canevaro/deep_rl_2022-main.git', 'commit': '4b59be5d730c7eb7d6e49cd37a0c7971695f2df7'}, 'email': 'pietro@smartpricing.it', 'root': 'C:/Users/Pietro/Downloads/dtu/deeplearning/deep_rl_2022-main', 'host': 'Asus-Pietro', 'username': 'Pietro', 'executable': 'C:\\Users\\Pietro\\Downloads\\dtu\\deeplearning\\deep_rl_2022-main\\dl_venv\\Scripts\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 8, 'cpu_freq': {'current': 1494.0, 'min': 0.0, 'max': 1992.0}, 'cpu_freq_per_core': [{'current': 1494.0, 'min': 0.0, 'max': 1992.0}], 'disk': {'total': 374.8899574279785, 'used': 329.53107833862305}, 'gpu': 'NVIDIA GeForce MX150', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce MX150', 'memory_total': 2147483648}], 'memory': {'total': 15.818592071533203}}
2022-11-21 14:26:31,045 INFO    HandlerThread:9692 [system_monitor.py:probe():178] Finished collecting system info
2022-11-21 14:26:31,045 INFO    HandlerThread:9692 [system_monitor.py:probe():181] Publishing system info
